pc_time_iso,pc_time_unix,sender_ip,sender_port,source_id,now_ms,tx_counter,rx_ok_total,crc_bad_total,seq_lost_total,duplicate_or_old_total,valid_count,deadman_count,move_en_count,last_seq,last_gap_ms,max_gap_ms,avg_gap_ms,loss_permille,loss_percent,valid_ratio_percent,session_id,session_rx_ok,session_lost,session_max_gap_ms,age_ms,last_unity_t_ms,source_seen,fresh_300ms,in_session,last_valid,last_deadman,last_move_en,last_port_id,last_error_code
2026-07-02T00:26:57.847+02:00,1782944817.847896,192.168.0.37,5005,1,430000,86,122,0,3,62,60,0,0,898,5,1945,366,24,2.4,50,8,2,0,1025,845,1455992,1,0,1,1,0,0,1,7
2026-07-02T00:27:02.865+02:00,1782944822.865793,192.168.0.37,5005,1,435000,87,132,0,3,67,65,0,0,903,5,1945,446,22,2.2,50,8,7,0,1025,825,1461058,1,0,1,1,0,0,1,7
2026-07-02T00:27:07.882+02:00,1782944827.882661,192.168.0.37,5005,1,440000,88,140,0,3,71,69,0,0,908,5,1945,407,21,2.1,50,9,1,0,5,705,1466169,1,0,1,1,0,0,1,7
2026-07-02T00:27:17.817+02:00,1782944837.817604,192.168.0.37,5005,1,450000,90,210,0,9,106,104,0,0,951,5,1945,37,41,4.1,50,10,33,6,1635,55,1476860,1,1,1,1,0,0,1,7
2026-07-02T00:27:27.851+02:00,1782944847.851889,192.168.0.37,5005,1,460000,92,454,0,38,228,226,0,0,1102,5,1945,35,77,7.7,50,10,155,35,1635,15,1486914,1,1,1,1,0,0,1,7
2026-07-02T00:27:32.870+02:00,1782944852.870588,192.168.0.37,5005,1,465000,93,576,0,51,289,287,0,0,1176,5,1945,38,81,8.1,50,10,216,48,1635,5,1491884,1,1,1,1,0,0,1,7
2026-07-02T00:27:37.889+02:00,1782944857.889971,192.168.0.37,5005,1,470000,94,692,0,68,348,344,0,0,1250,5,1945,45,90,9.0,50,10,273,65,1635,85,1496849,1,1,1,1,0,0,1,7
2026-07-02T00:27:47.905+02:00,1782944867.905578,192.168.0.37,5005,1,480000,96,912,0,106,458,454,0,0,1398,5,1945,44,104,10.4,50,10,383,103,1635,155,1506691,1,1,1,1,0,0,1,7
2026-07-02T00:27:57.854+02:00,1782944877.854718,192.168.0.37,5005,1,490000,98,1104,0,133,554,550,0,0,1522,5,1945,30,108,10.8,50,11,52,14,295,5,1516908,1,1,1,1,0,0,1,7
2026-07-02T00:28:07.890+02:00,1782944887.890459,192.168.0.37,5005,1,500000,100,1314,0,176,659,655,0,0,1670,5,1945,40,118,11.8,50,11,157,57,305,85,1526800,1,1,1,1,0,0,1,7
2026-07-02T00:28:12.807+02:00,1782944892.807230,192.168.0.37,5005,1,505000,101,1408,0,204,706,702,0,0,1745,5,1945,51,127,12.7,50,11,204,85,405,65,1531779,1,1,1,1,0,0,1,7
2026-07-02T00:28:17.825+02:00,1782944897.825781,192.168.0.37,5005,1,510000,102,1512,0,227,758,754,43,43,1820,5,1945,39,131,13.1,50,11,256,108,405,155,1536764,1,1,1,1,1,1,1,7
2026-07-02T00:28:27.859+02:00,1782944907.859335,192.168.0.37,5005,1,520000,104,1732,0,269,868,864,153,153,1972,5,1945,33,135,13.5,50,11,366,150,405,5,1546900,1,1,1,1,1,1,1,7
